bioproject,total_biosamples,number_tests,number_permutation_tests,number_metadata_sets,number_groups,num_skipped_groups,max_memory_usage,avg_memory_usage,avg_perms_memory_usage,total_memory_usage,max_runtime,avg_runtime,avg_perms_memory_usage,total_runtime
PRJEB53225,2317,1470.0,813,490.0,3,0.0,557694925,308502808.9367347,557693890.6100861,453499129137,1.2700133323669434,0.4425501956420691,0.7854541996161729,650.5487875938416
PRJEB6893,7260,6204.0,5553,2068.0,3,0.0,1744256315,1561264272.3205996,1744251044.4143705,9686083545477,2.90421199798584,1.8283552233823879,2.0366408623984413,11343.115805864334
PRJNA1013215,23,18.0,18,6.0,3,0.0,7023972,7022027.944444444,7022027.944444444,126396503,0.186431884765625,0.15525938404930958,0.15525938404930958,2.7946689128875724
PRJNA1044122,328,9.0,9,3.0,3,0.0,80305155,80244192.55555555,80244192.55555555,722197733,0.2912182807922363,0.24236035346984858,0.24236035346984858,2.1812431812286373
PRJNA241125,237,1105.0,1066,85.0,49,36.0,58393629,14955541.322208883,58391983.88742965,62289829607,0.3458869457244873,0.05668521259440663,0.21647720131149434,236.0939104557036
PRJNA274775,131,18.0,15,6.0,3,0.0,32947959,27468213.611111112,32947157.933333334,494427845,0.2316536903381347,0.1720317999521891,0.205013640721639,3.096572399139404
PRJNA306200,23,36.0,33,12.0,3,0.0,7022774,6117902.083333333,6668053.636363637,220244475,0.508777379989624,0.2527066469192505,0.2751905990369392,9.097439289093018
PRJNA319009,9,6.0,0,2.0,3,0.0,68929,67224.33333333333,nan,403346,0.0056257247924804,0.0051678816477457165,nan,0.031007289886474297
PRJNA378848,145,6.0,6,2.0,3,0.0,36310037,36308216.5,36308216.5,217849299,0.1665906906127929,0.16576186815897617,0.16576186815897617,0.9945712089538571
PRJNA384030,63,165.0,48,55.0,3,0.0,16626124,4883992.587878788,16623805.770833334,805858777,0.1787433624267578,0.049797559506965364,0.15802570184071854,8.216597318649285
PRJNA417709,3417,60.0,60,20.0,3,0.0,821748941,821746452.1666666,821746452.1666666,49304787130,1.344082593917847,1.095824452241262,1.095824452241262,65.74946713447571
PRJNA428605,100,138.0,72,46.0,3,0.0,25507990,13340220.442028986,25505666.444444444,1840950421,0.20235276222229,0.09262621748274646,0.17222997877332893,12.782418012619011
PRJNA445346,1420,813.0,741,271.0,3,0.0,342372196,312059297.98400986,342369928.61673415,253704209261,0.7569828033447266,0.48723926256796823,0.533297985027998,396.1255204677582
PRJNA466231,42,159.0,87,53.0,3,0.0,11583945,6368496.094339622,11582735.287356323,1012590879,0.2447919845581054,0.09106874315993586,0.16195746947979103,14.479930162429802
PRJNA479522,181,177.0,0,59.0,3,0.0,73676,71647.75141242938,nan,12681652,0.0061478614807128,0.005213547561128212,nan,0.9227979183196936
PRJNA48477,1065,1257.0,477,419.0,3,0.0,257154674,97644915.65393795,257152387.83438155,122739658977,0.5870792865753174,0.15605570289381174,0.39409224342250226,196.16201853752136
PRJNA486920,336,480.0,132,160.0,3,0.0,82158511,22648596.022916667,82157056.62121212,10871326091,0.3437931537628174,0.07019165953000384,0.23921416203180948,33.69199657440184
PRJNA498751,2651,15.0,15,5.0,3,0.0,637871796,637869882.2666667,637869882.2666667,9568048234,0.9408433437347412,0.8676943778991699,0.8676943778991699,13.015415668487549
PRJNA505131,9761,10659.0,1083,3553.0,3,0.0,2344619791,238700465.9019608,2344616305.790397,2544308266049,4.902525186538696,0.3761301753735473,3.1292010460974216,4009.1715393066406
PRJNA510837,12,15.0,3,5.0,3,0.0,493094,151499.66666666666,492452.6666666667,2272495,0.0486533641815185,0.013571246465047156,0.04789249102274573,0.20356869697570734
PRJNA513339,8477,10407.0,51,3469.0,3,0.0,2036394607,10445008.496492745,2036391105.490196,108701203423,3.3825039863586426,0.07076878635640717,2.735547991359935,736.4907596111294
PRJNA546528,192,63.0,63,21.0,3,0.0,47592346,47590067.07936508,47590067.07936508,2998174226,0.2829947471618652,0.20924611697121273,0.20924611697121273,13.182505369186401
PRJNA560080,4320,1032.0,972,344.0,3,0.0,1038513355,978145126.501938,1038510856.4444444,1009445770550,1.8599565029144287,1.238598607076231,1.3137236860553914,1278.2337625026703
PRJNA623230,346,324.0,12,108.0,3,0.0,84557950,3205635.0061728396,84557593.16666667,1038625742,0.2854268550872803,0.014921177316594958,0.24426811933517453,4.834461450576766
PRJNA625982,35,9.0,9,3.0,3,0.0,9904475,9902811.111111112,9902811.111111112,89125300,0.1503686904907226,0.1424717638227674,0.1424717638227674,1.2822458744049068
PRJNA664320,79,486.0,219,162.0,3,0.0,20465261,9259108.886831276,20464514.05479452,4499926919,0.2593710422515869,0.07701998826407598,0.16425021053993538,37.43171429634093
PRJNA670501,2931,6780.0,1257,2260.0,3,0.0,705085335,130859808.71445428,705083975.9856802,887229503084,1.3444762229919434,0.1919508048566745,0.9329231523196662,1301.4264569282532
PRJNA686965,1173,12174.0,6450,4058.0,3,0.0,283079370,150028295.34557253,283077700.16573644,1826444467537,0.89882493019104,0.2551123752017434,0.4712915844510692,3105.738055706024
PRJNA693020,590,1302.0,348,434.0,3,0.0,143131498,38317629.82949309,143129201.68390805,49889554038,0.4220244884490967,0.08505327251100316,0.296669100207844,110.73936080932612
PRJNA694523,4,3.0,0,1.0,3,0.0,71507,70646.66666666667,nan,211940,0.0070748329162597,0.0056084791819254005,nan,0.0168254375457762
PRJNA747635,466,768.0,69,256.0,3,0.0,113365984,10258641.135416666,113363370.3478261,7878636392,0.3867833614349365,0.03247931133955712,0.2824216545491979,24.94411110877987
PRJNA748146,68,63.0,63,21.0,3,0.0,17826208,17824002.333333332,17824002.333333332,1122912147,0.2666769027709961,0.1608552894895039,0.1608552894895039,10.133883237838745
PRJNA767404,16,9.0,9,3.0,3,0.0,4312521,3236830.3333333335,3236830.3333333335,29131473,0.4537408351898193,0.2874739964803059,0.2874739964803059,2.5872659683227535
PRJNA769290,915,7542.0,2712,2514.0,3,0.0,221147635,79581814.12662424,221145180.98156342,600206042143,0.7120931148529053,0.1506387680033985,0.4014650655355425,1136.1175882816315
PRJNA778724,1931,2556.0,12,852.0,3,0.0,465037631,2310673.868544601,465034818.3333333,5906082408,0.8315227031707764,0.019536533172887952,0.700899600982666,49.935378789901606
PRJNA850375,11343,10533.0,5253,3511.0,3,0.0,2724376643,1358998224.4813445,2724370501.609366,14314328298462,4.895338296890259,1.8021431559569292,3.538131770101838,18981.973861694336
PRJNA865107,192,141.0,87,47.0,3,0.0,47592161,29391514.872340426,47589966.59770115,4144203597,0.2432694435119629,0.11810263843401099,0.18799002691246994,16.65247201919555
PRJNA892950,122,69.0,48,23.0,3,0.0,30787431,21437995.0,30786662.520833332,1479221655,0.1868903636932373,0.11906315278315888,0.16885449488957724,8.215357542037962
PRJNA951080,938,1428.0,45,476.0,3,0.0,226667553,7235714.766806723,226666269.42222223,10332600687,0.5474755764007568,0.019839630574405312,0.377099339167277,28.330992460250783
PRJNA980547,8,4.0,4,2.0,2,0.0,40531,37708.5,37708.5,150834,0.0052583217620849,0.005221843719482374,0.005221843719482374,0.020887374877929497
